dataset,series,window_type,fold,model,family,train_size,test_start_date,test_end_date,horizon,fit_seconds,error,mae,rmse,wape,mase,mase_undefined_reason,mape,smape,actual_sum,actual_mean,all_zero_window,coverage,interval_width,width_pct_of_mean,pinball_lower,pinball_upper,pinball_mean,crossed_bounds_repaired,interval,order,seasonal_order,aic,bic,ljung_box_p,residuals_white_noise,lambda,ets_config,sp,n_train_rows,margin_h1,margin_hmax
workforce,workforce,rolling,12,lgbm_quantile,ml,365,2025-09-11,2025-09-24,14,3.0848549000220373,,5.696476068402306,8.613696042614071,6.79307197254108,1.069957204873046,,6.725086356561212,6.365129890336705,1174.0,83.85714285714286,False,0.7142857142857143,12.952194002755956,15.445546510952587,1.5712720538194627,0.6887001217916244,1.1299860878055434,0,quantile objective (alpha=0.05/0.95),,,,,,,-0.07499999999999996,,,4627.0,,
workforce,workforce,rolling,13,lgbm_quantile,ml,365,2025-09-25,2025-10-08,14,3.0629652000498027,,6.04668904993004,7.10008153720222,7.640220821211242,1.100515851487013,,7.471949008333565,7.278561601023139,1108.0,79.14285714285714,False,0.5,10.216637377428716,12.909108599639174,2.1542558754467764,0.44067574648453256,1.2974658109656545,0,quantile objective (alpha=0.05/0.95),,,,,,,-0.07499999999999996,,,4627.0,,
workforce,workforce,rolling,14,lgbm_quantile,ml,365,2025-10-09,2025-10-22,14,3.013754599960521,,4.073607856602317,4.977133077331787,4.993915060633313,0.7372859518016327,,5.438293354424001,5.3621727994082375,1142.0,81.57142857142857,False,0.6428571428571429,11.89367467975023,14.580686997942488,0.5019973584990597,0.484476076787149,0.49323671764310434,0,quantile objective (alpha=0.05/0.95),,,,,,,-0.04999999999999993,,,4627.0,,
workforce,workforce,rolling,15,lgbm_quantile,ml,365,2025-10-23,2025-11-05,14,2.9726941001135856,,3.695224954651654,5.051704047124707,4.537995558344137,0.6604545850051383,,4.3873437400879745,4.431457986306919,1140.0,81.42857142857143,False,0.6428571428571429,10.093666513362942,12.395730805884314,0.5683846773967629,0.8935712561611429,0.7309779667789529,0,quantile objective (alpha=0.05/0.95),,,,,,,-0.02499999999999991,,,4627.0,,
workforce,workforce,rolling,16,lgbm_quantile,ml,365,2025-11-06,2025-11-19,14,2.9781761000631377,,4.647587032024222,6.328194511177087,5.717593888254755,0.8236812660716195,,5.57851962727738,5.598211693158628,1138.0,81.28571428571429,False,0.5714285714285714,9.687776943206927,11.918179016247537,0.8168181599509393,1.0814208072283522,0.9491194835896457,0,quantile objective (alpha=0.05/0.95),,,,,,,-0.03749999999999998,,,4627.0,,
workforce,workforce,rolling,17,lgbm_quantile,ml,365,2025-11-20,2025-12-03,14,3.0039076999528334,,4.755443374057557,5.628398435302797,5.599344595189723,0.813790022902775,,5.538788706691874,5.658793337073282,1189.0,84.92857142857143,False,0.6428571428571429,12.238121558015747,14.40989922726833,0.4616605564662844,0.6240261831804419,0.5428433698233631,0,quantile objective (alpha=0.05/0.95),,,,,,,-0.012499999999999956,,,4627.0,,
workforce,workforce,rolling,18,lgbm_quantile,ml,365,2025-12-04,2025-12-17,14,3.046924699912779,,3.03649631322549,3.7450491573430806,3.458986849890713,0.522125686904287,,3.2589081234393733,3.3096380369938236,1229.0,87.78571428571429,False,0.7857142857142857,10.395887960080922,11.842345926861912,0.4318376153524106,0.7875619238001657,0.6096997695762881,0,quantile objective (alpha=0.05/0.95),,,,,,,0.012499999999999956,,,4627.0,,
workforce,workforce,rolling,19,lgbm_quantile,ml,365,2025-12-18,2025-12-31,14,2.710955200018361,,4.7426139641052885,5.71917877133306,5.282147613164204,0.8073494052067015,,5.0464938521273615,5.122814115184104,1257.0,89.78571428571429,False,0.5714285714285714,8.11682994175545,9.040224278804796,0.7348058572703363,0.9042355086851254,0.8195206829777308,0,quantile objective (alpha=0.05/0.95),,,,,,,0.050000000000000044,,,4627.0,,
workforce,workforce,rolling,0,lgbm_conformal,ml,365,2025-03-27,2025-04-09,14,1.7010494999121875,,17.71556775008358,22.185006285483087,20.965168935010155,4.338011802004051,,18.599811296932707,21.33699428910478,1183.0,84.5,False,0.35714285714285715,22.1508925148856,26.21407398211314,1.3660802214198817,7.732739186246365,4.549409703833123,0,"split conformal (per-horizon, refit each fold)",,,,,,,-0.2875,,,4627.0,0.04449884924400971,0.04923273656230487
workforce,workforce,rolling,1,lgbm_conformal,ml,365,2025-04-10,2025-04-23,14,1.9415190999861807,,8.404374967425998,10.17213997237962,9.330789020139887,1.876959599712107,,10.25619362587132,10.955596583845885,1261.0,90.07142857142857,False,0.9285714285714286,45.84209306801976,50.89526589629474,1.2526002704805623,1.0719821547686958,1.1622912126246292,0,"split conformal (per-horizon, refit each fold)",,,,,,,-0.29999999999999993,,,4627.0,0.06240708401771711,0.0682879296063672
